Protein	p_value	log2FC	Gene_Name_Fixed	Gene_ID_Fixed	Protein_Label	Significant
	0.0005625033997959	-1.6827922501439283		IGHG3	IGHG3	True
	0.0013427102828693	1.0629577870821836		ACOT7	ACOT7	True
	0.0032138067106745	1.762155502626396		TRIM32	TRIM32	True
	0.0037733916367701	1.1096137039827918		KRT80	KRT80	True
	0.0067669354733969	3.9761425997503097		ITGB3	ITGB3	True
	0.0083684150202035	2.417916720553963		RBM45	RBM45	True
	0.0084380370947516	1.5076820200761298		COLEC12	COLEC12	True
	0.008454672765364	1.1990015369884386		NSUN4	NSUN4	True
	0.0086233366941466	1.1237074689048794		WFS1	WFS1	True
	0.0090629013767506	-1.549154225767292		IGHV2-26	IGHV2-26	True
	0.0091585080325004	1.1648891084519026		VPS29	VPS29	True
	0.0092651580497773	2.292632177400333		UNG	UNG	True
	0.0097474606206467	-1.298647525065256		RTN1	RTN1	True
	0.0101980953762063	1.2114595800879502		RAB3A	RAB3A	True
	0.0106741509660998	1.2439060181330948		RIOX1	RIOX1	True
	0.0109715999510098	2.057470054774259		RCOR3	RCOR3	True
	0.0149249374205595	1.6066962760848782		TMEM165	TMEM165	True
	0.0149742208504101	1.1246134011423214		B4GALT7	B4GALT7	True
	0.0157566308628253	-1.649515409855044		RECK	RECK	True
	0.0159803613820396	1.3601370170275868		ARMC9	ARMC9	True
	0.0159906137982895	1.620179462371503		YIPF6	YIPF6	True
	0.0162401137623617	1.1223872651840918		SCYL3	SCYL3	True
	0.0166390635417052	-1.4341865022822162		KRT6B	KRT6B	True
	0.017995095998145	2.2088371114322207		ZSWIM8	ZSWIM8	True
	0.019846719896733	1.6927885544938466		TMEM87A	TMEM87A	True
	0.0200139499808507	-2.2697118077727008		SYNM	SYNM	True
	0.0210255119080266	1.3070918233922428		AGAP3	AGAP3	True
	0.0211016986501512	1.3555801473729647		VIPAS39	VIPAS39	True
	0.0228377953391351	1.4640667874043078		WDR47	WDR47	True
	0.0235115831353346	-39.73624160877402		PRTFDC1	PRTFDC1	True
	0.0237167851489657	1.091409531198421		CUL2	CUL2	True
	0.0242149974218108	3.5373352325725973		RPS6KB2	RPS6KB2	True
	0.0279632080485573	1.1212699768990897		ARFIP2	ARFIP2	True
	0.0289024536801041	2.025185239782886		DHX35	DHX35	True
	0.0289923431111657	1.224739889682006		PPP2R5C	PPP2R5C	True
	0.0290418963151276	1.661533119700611		MSI2	MSI2	True
	0.0296112093848605	1.7656610271590942		FBXO42	FBXO42	True
	0.0300959653090216	1.0944234030544815		MAP2K7	MAP2K7	True
	0.0301959198807789	1.0856053857133303		MYO3B	MYO3B	True
	0.0315801120632804	-3.3335076137584436		RASIP1	RASIP1	True
	0.0328156188286366	-1.7735265969702283		NEDD8	NEDD8	True
	0.0345413346801823	1.5338663239910146		RRM1	RRM1	True
	0.0348962874325285	-3.970092538497829		UPP1	UPP1	True
	0.0350841178074595	2.2058538942989667		NEDD4	NEDD4	True
	0.03608040418818	1.1928074574633407		DENND10P1	DENND10P1	True
	0.0362891924905459	1.0537093827727708		TGFBRAP1	TGFBRAP1	True
	0.0363227265839974	1.3883792657341216		STUB1	STUB1	True
	0.0366137639583289	2.0194106384807644		MAK16	MAK16	True
	0.0374841771523949	3.0858904214119445		AGAP1	AGAP1	True
	0.037560144372374	2.2178328297014143		PEX1	PEX1	True
	0.0378996242195648	-1.792564434849646		LAD1	LAD1	True
	0.0399160984339333	-1.3187084901010515		CAV1	CAV1	True
	0.0407977639816943	1.1604283177674726		HPS6	HPS6	True
	0.0408087877416686	1.1198781002891849		ECHS1	ECHS1	True
	0.0409026616218032	3.011268523026317		FBXO6	FBXO6	True
	0.0416351034076113	3.9412676548009298		PXMP2	PXMP2	True
	0.0424981401086749	1.779273316105456		TRIP13	TRIP13	True
	0.0425604608168752	1.0392675261730089		UBE4B	UBE4B	True
	0.0425856314309737	-1.9442792415406007		ITIH5	ITIH5	True
	0.0427436450104588	-1.2536463101816009		NDRG2	NDRG2	True
	0.0439928378490605	3.0611486555072456		LMF1	LMF1	True
	0.0442421147052368	1.0614997212341113		NECAP1	NECAP1	True
	0.0451872760055801	-1.037016628185263		LAMC1	LAMC1	True
	0.0452310187323093	2.896766378327533		ARHGAP8	ARHGAP8	True
	0.0460246225777964	3.6542289768300087		NDUFA3	NDUFA3	True
	0.0461792204898211	2.379285970560614		ERGIC3	ERGIC3	True
	0.0470511940786972	1.2451448623117056		CCDC47	CCDC47	True
	0.0470653607489633	1.9027342720778997		PNO1	PNO1	True
	0.0491882684457215	-1.193309550680064		PHGDH	PHGDH	True
	0.0496171073644305	-1.1547014978966692		ALDH1A1	ALDH1A1	True
	0.0497192178035391	37.40514749419288		RAB3IP	RAB3IP	True
